name,release_date,developer,publisher,platforms,required_age,categories,genres
Tail Drift,2014-10-29,Attract Mode Games,Right Pedal Studios,windows,0,Single-player;Partial Controller Support,Indie;Racing;Sports;Early Access
Noct,2015-10-21,C3SK,Devolver Digital,windows;mac;linux,0,Single-player;Multi-player;Cross-Platform Multiplayer;Partial Controller Support,Action;Indie;Early Access
Shark Attack Deathmatch 2,2015-05-28,Lighthouse Games Studio,Lighthouse Games Studio,windows,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Leaderboards,Action;Indie;Early Access
Independence War™ Deluxe Edition,2016-08-10,Particle Systems Ltd.,Atari,windows,0,Single-player,Action;Simulation;Strategy
It's A Wipe!,2014-12-11,"Parody Games, LLC","Parody Games, LLC",windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats,Indie;RPG;Simulation;Strategy
Luna's Wandering Stars,2015-05-15,Serenity Forge,Serenity Forge,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Includes level editor,Action;Indie;Simulation
DiscStorm,2015-08-20,XMPT Games,XMPT Games,windows;mac;linux,0,Single-player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats,Action;Indie
Solar Struggle,2014-11-18,Z-Software,Z-Software GmbH,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Indie
Flashpoint Campaigns: Red Storm Player's Edition,2014-11-21,On Target Simulations,Slitherine Ltd.,windows,0,Single-player;Multi-player,Strategy
Radial-G : Racing Revolved,2016-03-28,Tammeka Games,Tammeka Games,windows,0,Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;VR Support;Steam Cloud;Stats;Steam Leaderboards,Action;Indie;Racing
2064: Read Only Memories,2015-10-06,"MidBoss, LLC.","MidBoss, LLC.;AGM PLAYISM",windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Indie
Tales from the Borderlands,2014-11-25,Telltale Games,Telltale Games,windows;mac,18,Single-player;Steam Achievements;Full controller support,Adventure
Redemption,2016-08-11,"Move Games Co., Ltd.","Move Games Co., Ltd.",windows,0,Single-player;Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Trading Cards;Partial Controller Support,Action;Adventure;Casual;Massively Multiplayer;RPG;Early Access
Demon Hunter: Chronicles from Beyond,2014-12-04,Brave Giant LTD,Artifex Mundi,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual
Passing Pineview Forest,2014-11-21,VIS-Games,United Independent Entertainment GmbH,windows,0,Single-player;VR Support,Action;Adventure;Indie
Disney•Pixar Cars,2015-02-24,Beenox,THQ;Disney Interactive,windows,0,Single-player;Shared/Split Screen;Partial Controller Support;Steam Cloud,Adventure;Racing
Master Spy,2015-09-08,TURBOGUN,TURBOGUN,windows;mac,0,Single-player;Full controller support;Steam Trading Cards;Captions available,Action;Indie
Grass Simulator,2015-04-01,Daniel Davies,Daniel Davies,windows;mac;linux,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Trading Cards,Adventure;Casual;Indie;Simulation
"Bolt Riley, A Reggae Adventure",2018-02-08,Adventure Mob;Corbomite Games,Adventure Mob;Corbomite Games,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Captions available;Commentary available,Adventure;Casual;Indie
Miko Gakkou: Second Year,2014-11-13,xinoro,xinoro,windows,0,Single-player;Full controller support,Action;Indie
Tulpa,2015-01-29,Encryptique,Rising Star Games,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie
Heavy Metal Machines,2018-09-19,Hoplon,Hoplon,windows,0,Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Trading Cards;Captions available;In-App Purchases,Action;Free to Play;Indie;Massively Multiplayer;Racing;Sports;Strategy
Winged Sakura: Mindy's Arc,2014-11-07,WINGED SAKURA GAMES,WINGED SAKURA GAMES,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Indie;RPG;Strategy
Luna: Shattered Hearts: Episode 1,2014-11-24,Daniel Gill,Gillis LLC,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Adventure;Casual;Indie;RPG
bit Dungeon II,2014-12-15,Kinto Games LLC,Kinto Games LLC,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure;Indie;RPG
Disney•Pixar Finding Nemo,2015-02-24,KnowWonder,Disney Interactive,windows,0,Single-player;Steam Cloud,Action;Adventure
Rooms: The Unsolvable Puzzle,2015-05-01,HandMade Game,HandMade Game,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie
Everlasting Summer,2014-11-19,Soviet Games,Soviet Games,windows;mac;linux,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,Adventure;Casual;Free to Play;Indie
Pinstripe,2017-04-24,Thomas Brush,Armor Games Studios,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud,Adventure;Casual;Indie
Executive Assault,2015-07-17,Hesketh Studios Ltd,Hesketh Studios Ltd,windows,0,Single-player;Multi-player;Co-op,Action;Strategy
Amphora,2014-11-12,Moondrop,Moondrop,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie
Wimp: Who Stole My Pants?,2015-06-05,FlexileStudio,FlexileStudio,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,Action;Adventure;Casual;Indie
One Piece Pirate Warriors 3,2015-08-27,"KOEI TECMO GAMES CO., LTD.",BANDAI NAMCO Entertainment,windows,0,Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support,Action
Carmageddon TDR 2000,2014-12-04,Torus Games,THQ Nordic,windows,0,Single-player;Multi-player,Action;Indie;Racing
The Jackbox Party Pack,2014-11-26,"Jackbox Games, Inc.","Jackbox Games, Inc.",windows;mac;linux,0,Single-player;Local Multi-Player;Local Co-op;Steam Achievements;Partial Controller Support;Steam Cloud,Casual;Indie;Strategy
Crossing Souls,2018-02-13,Fourattic,Devolver Digital,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie
Survivor Squad: Gauntlets,2015-11-16,Endless Loop Studios,Endless Loop Studios,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,Action;Indie;Strategy
Disney•Pixar WALL-E,2015-02-24,Asobo Studio,THQ;Disney Interactive,windows,0,Single-player;Shared/Split Screen;Full controller support,Adventure
Supreme League of Patriots,2015-01-29,No Bull Intentions,Phoenix Online Publishing,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Steam Cloud,Adventure;Indie
Data Hacker: Reboot,2015-04-17,New Reality Games,New Reality Games,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Adventure;Indie;RPG
AER Memories of Old,2017-10-25,Forgotten Key,Daedalic Entertainment,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Indie
Truck Mechanic Simulator 2015,2015-05-01,PlayWay SA,Ravenscourt,windows,0,Single-player,Casual;Simulation
Beach Resort Simulator,2014-11-28,Earthworm Games,Ravenscourt,windows,0,Single-player;Steam Achievements,Simulation
Airline Tycoon Deluxe,2014-11-14,Spellbound AG,HandyGames;Black Forest Games,windows;mac;linux,0,Single-player,Simulation
Disney's Treasure Planet: Battle of Procyon,2015-02-24,Barking Dog Studios,Disney Interactive,windows,0,Single-player;Multi-player;Steam Cloud,Action;Adventure;Strategy
Last Inua,2014-12-11,Glowforth,Wired Productions;THQ Nordic,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Adventure;Casual;Indie
LEVEL UP!,2014-11-24,Ranmantaru Games,Ranmantaru Games,windows,0,Single-player,Action;Indie;Early Access
Axiom Verge,2015-05-14,Thomas Happ Games LLC,Thomas Happ Games LLC,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure;Indie
